model_id,technology,natural_language,intelligence_type,ring_affinity,primitive_function,sovereign_replacement_candidate,current_status,package_path,organism_placement
F-MRK-001,HTML5,Structures document hierarchy as a living tree of semantic meaning,structure,RING_0_CORE,phi-depth-authority,Nova Semantic Tree Engine,ACTIVE,@organism/frontend-intelligence/markup,D0_Foundational
F-MRK-002,XML,Encodes structured data exchange through strict hierarchical grammar,validation,RING_1_INNER,zeckendorf-decomposition,Nova Data Grammar Protocol,ACTIVE,@organism/frontend-intelligence/markup,D0_Foundational
F-MRK-003,SVG,Renders resolution-independent vector geometry from declarative coordinates,geometry,RING_1_INNER,phyllotaxis-layout,Nova Vector Geometry Renderer,ACTIVE,@organism/frontend-intelligence/markup,D0_Foundational
F-MRK-004,MathML,Expresses mathematical notation as structured semantic markup,structure,RING_2_MIDDLE,fibonacci-hash,Nova Mathematical Notation Engine,ACTIVE,@organism/frontend-intelligence/markup,D0_Foundational
F-MRK-005,XHTML,Enforces strict XML compliance on document structure for deterministic parsing,validation,RING_1_INNER,zeckendorf-decomposition,Nova Strict Document Parser,ACTIVE,@organism/frontend-intelligence/markup,D0_Foundational
F-MRK-006,Web Components,Encapsulates reusable UI primitives as autonomous custom elements,encapsulation,RING_0_CORE,golden-cascade,Nova Sovereign Component Shell,ACTIVE,@organism/frontend-intelligence/markup,D0_Foundational
F-MRK-007,Shadow DOM,Isolates component internals behind an encapsulation boundary,encapsulation,RING_0_CORE,phi-depth-authority,Nova Shadow Boundary Isolator,ACTIVE,@organism/frontend-intelligence/markup,D0_Foundational
F-MRK-008,Template Literals,Generates dynamic markup fragments through interpolated string projection,generative,RING_2_MIDDLE,fibonacci-sphere,Nova Template Projection Engine,ACTIVE,@organism/frontend-intelligence/markup,D0_Foundational
F-MRK-009,Custom Elements,Registers new element types that extend the browser's native vocabulary,encapsulation,RING_1_INNER,golden-cascade,Nova Element Registry,ACTIVE,@organism/frontend-intelligence/markup,D0_Foundational
F-MRK-010,Semantic HTML,Assigns meaning-bearing roles to document regions for accessible interpretation,structure,RING_0_CORE,phi-depth-authority,Nova Semantic Role Assigner,ACTIVE,@organism/frontend-intelligence/markup,D0_Foundational
F-STY-011,CSS3,Cascades visual styling rules through specificity-weighted inheritance,cascade,RING_0_CORE,golden-cascade,Nova Cascade Style Resolver,ACTIVE,@organism/frontend-intelligence/styling,D1_Structural
F-STY-012,SCSS/Sass,Compiles nested rule hierarchies into flattened cascade output,cascade,RING_1_INNER,phi-depth-authority,Nova Nested Style Compiler,ACTIVE,@organism/frontend-intelligence/styling,D1_Structural
F-STY-013,Less,Transforms parameterized style variables into resolved cascade values,cascade,RING_1_INNER,fibonacci-hash,Nova Variable Style Transformer,ACTIVE,@organism/frontend-intelligence/styling,D1_Structural
F-STY-014,Stylus,Generates expressive stylesheets through minimal-syntax compilation,generative,RING_2_MIDDLE,phyllotaxis-layout,Nova Expressive Style Generator,ACTIVE,@organism/frontend-intelligence/styling,D1_Structural
F-STY-015,PostCSS,Transforms CSS through a pipeline of composable syntax plugins,transform,RING_1_INNER,zeckendorf-decomposition,Nova Style Transform Pipeline,ACTIVE,@organism/frontend-intelligence/styling,D1_Structural
F-STY-016,CSS Modules,Scopes class names to local modules preventing global cascade collision,encapsulation,RING_1_INNER,golden-cascade,Nova Scoped Style Isolator,ACTIVE,@organism/frontend-intelligence/styling,D1_Structural
F-STY-017,Tailwind CSS,Composes atomic utility classes into design-token-driven layouts,composition,RING_2_MIDDLE,phyllotaxis-layout,Nova Atomic Style Composer,ACTIVE,@organism/frontend-intelligence/styling,D1_Structural
F-STY-018,CSS-in-JS,Binds styling logic to component state through runtime style injection,projection,RING_2_MIDDLE,fibonacci-sphere,Nova Runtime Style Binder,ACTIVE,@organism/frontend-intelligence/styling,D1_Structural
F-STY-019,Emotion,Projects dynamic styles from component props through high-performance injection,projection,RING_2_MIDDLE,fibonacci-sphere,Nova Dynamic Style Projector,ACTIVE,@organism/frontend-intelligence/styling,D1_Structural
F-STY-020,Styled Components,Encapsulates visual identity within tagged template component boundaries,encapsulation,RING_1_INNER,golden-cascade,Nova Tagged Style Encapsulator,ACTIVE,@organism/frontend-intelligence/styling,D1_Structural
F-FWK-021,TypeScript,Enforces static type contracts across the entire application surface,validation,RING_0_CORE,zeckendorf-decomposition,Nova Type Contract Enforcer,ACTIVE,@organism/frontend-intelligence/framework,D2_Relational
F-FWK-022,React,Reconciles virtual DOM trees through fiber-scheduled diffing intelligence,transform,RING_0_CORE,fibonacci-hash,Nova Reconciliation Engine,ACTIVE,@organism/frontend-intelligence/framework,D2_Relational
F-FWK-023,Vue.js,Tracks reactive dependencies through proxy-based observation graphs,memory,RING_1_INNER,phi-depth-authority,Nova Reactive Dependency Tracker,ACTIVE,@organism/frontend-intelligence/framework,D2_Relational
F-FWK-024,Angular,Orchestrates full-platform application architecture through dependency injection,composition,RING_0_CORE,golden-cascade,Nova Platform Orchestrator,ACTIVE,@organism/frontend-intelligence/framework,D2_Relational
F-FWK-025,Svelte,Compiles declarative components into minimal imperative DOM instructions,transform,RING_1_INNER,zeckendorf-decomposition,Nova Compile-Time Transformer,ACTIVE,@organism/frontend-intelligence/framework,D2_Relational
F-FWK-026,SolidJS,Propagates fine-grained reactivity through signal-based dependency graphs,stream,RING_1_INNER,fibonacci-sphere,Nova Signal Propagation Engine,ACTIVE,@organism/frontend-intelligence/framework,D2_Relational
F-FWK-027,Preact,Delivers virtual DOM reconciliation within a minimal memory footprint,transform,RING_2_MIDDLE,fibonacci-hash,Nova Lightweight Reconciler,ACTIVE,@organism/frontend-intelligence/framework,D2_Relational
F-FWK-028,Alpine.js,Sprinkles declarative reactivity directly onto existing markup structures,projection,RING_3_OUTER,phyllotaxis-layout,Nova Markup Reactivity Sprinkler,ACTIVE,@organism/frontend-intelligence/framework,D2_Relational
F-FWK-029,Lit,Renders web components through efficient tagged-template lit-html updates,generative,RING_1_INNER,golden-cascade,Nova Lit Render Engine,ACTIVE,@organism/frontend-intelligence/framework,D2_Relational
F-FWK-030,Qwik,Resumes application state from serialized HTML without full hydration,memory,RING_1_INNER,phi-depth-authority,Nova Resumability Engine,ACTIVE,@organism/frontend-intelligence/framework,D2_Relational
F-STA-031,Redux,Centralizes application state into a single immutable store with dispatch actions,memory,RING_0_CORE,phi-depth-authority,Nova Central State Authority,ACTIVE,@organism/frontend-intelligence/state,D3_Emergent
F-STA-032,MobX,Derives computed values automatically from observable state mutations,stream,RING_1_INNER,fibonacci-sphere,Nova Observable Derivation Engine,ACTIVE,@organism/frontend-intelligence/state,D3_Emergent
F-STA-033,Zustand,Manages state through minimal hook-based stores without boilerplate,memory,RING_2_MIDDLE,fibonacci-hash,Nova Minimal State Store,ACTIVE,@organism/frontend-intelligence/state,D3_Emergent
F-STA-034,Recoil,Propagates atomic state units through a directed dependency graph,stream,RING_1_INNER,phyllotaxis-layout,Nova Atomic State Graph,ACTIVE,@organism/frontend-intelligence/state,D3_Emergent
F-STA-035,Jotai,Composes primitive atoms into derived state through bottom-up composition,composition,RING_2_MIDDLE,zeckendorf-decomposition,Nova Atom Composition Engine,ACTIVE,@organism/frontend-intelligence/state,D3_Emergent
F-STA-036,XState,Models application behavior as finite state machines with guarded transitions,validation,RING_1_INNER,golden-cascade,Nova State Machine Modeler,ACTIVE,@organism/frontend-intelligence/state,D3_Emergent
F-STA-037,Valtio,Proxies mutable state objects into reactive subscription sources,proxy,RING_2_MIDDLE,fibonacci-sphere,Nova Proxy State Reactor,ACTIVE,@organism/frontend-intelligence/state,D3_Emergent
F-STA-038,Pinia,Structures Vue store modules with type-safe composition API patterns,composition,RING_1_INNER,phi-depth-authority,Nova Typed Store Composer,ACTIVE,@organism/frontend-intelligence/state,D3_Emergent
F-STA-039,NgRx,Channels Angular state through Redux-pattern observable effect streams,stream,RING_1_INNER,golden-cascade,Nova Observable State Channel,ACTIVE,@organism/frontend-intelligence/state,D3_Emergent
F-STA-040,Effector,Propagates events through a graph of stores and computed derivations,stream,RING_2_MIDDLE,fibonacci-sphere,Nova Event Propagation Graph,ACTIVE,@organism/frontend-intelligence/state,D3_Emergent
F-BLD-041,Webpack,Bundles module dependency graphs into optimized deployment artifacts,transform,RING_0_CORE,zeckendorf-decomposition,Nova Module Bundle Transformer,ACTIVE,@organism/frontend-intelligence/build,D4_Transcendent
F-BLD-042,Vite,Serves unbundled ES modules with instant hot-module replacement,stream,RING_0_CORE,fibonacci-sphere,Nova Instant Module Server,ACTIVE,@organism/frontend-intelligence/build,D4_Transcendent
F-BLD-043,Rollup,Tree-shakes ES module graphs into minimal flat bundle output,transform,RING_1_INNER,zeckendorf-decomposition,Nova Tree-Shake Flattener,ACTIVE,@organism/frontend-intelligence/build,D4_Transcendent
F-BLD-044,esbuild,Compiles and bundles at native speed through parallel Go pipelines,transform,RING_0_CORE,fibonacci-hash,Nova Native Speed Compiler,ACTIVE,@organism/frontend-intelligence/build,D4_Transcendent
F-BLD-045,Parcel,Discovers and transforms assets through zero-configuration dependency resolution,transform,RING_2_MIDDLE,phyllotaxis-layout,Nova Zero-Config Asset Resolver,ACTIVE,@organism/frontend-intelligence/build,D4_Transcendent
F-BLD-046,SWC,Transpiles source code at Rust-native speed with plugin extensibility,transform,RING_1_INNER,fibonacci-hash,Nova Rust-Speed Transpiler,ACTIVE,@organism/frontend-intelligence/build,D4_Transcendent
F-BLD-047,Babel,Transforms next-generation syntax into backward-compatible JavaScript output,transform,RING_1_INNER,golden-cascade,Nova Syntax Backward Transformer,ACTIVE,@organism/frontend-intelligence/build,D4_Transcendent
F-BLD-048,Terser,Compresses JavaScript through dead-code elimination and name mangling,transform,RING_2_MIDDLE,zeckendorf-decomposition,Nova Code Compression Engine,ACTIVE,@organism/frontend-intelligence/build,D4_Transcendent
F-BLD-049,PostCSS Build,Processes CSS through an extensible plugin transformation pipeline,transform,RING_2_MIDDLE,golden-cascade,Nova CSS Build Pipeline,ACTIVE,@organism/frontend-intelligence/build,D4_Transcendent
F-BLD-050,Turbopack,Incrementally computes module bundles through Rust-powered caching graphs,transform,RING_0_CORE,fibonacci-hash,Nova Incremental Bundle Computer,ACTIVE,@organism/frontend-intelligence/build,D4_Transcendent
F-TST-051,Jest,Executes test suites with snapshot matching and coverage instrumentation,verification,RING_0_CORE,fibonacci-hash,Nova Test Execution Engine,ACTIVE,@organism/frontend-intelligence/testing,D0_Foundational
F-TST-052,Vitest,Runs Vite-native tests with instant hot-module-aware re-execution,verification,RING_0_CORE,fibonacci-sphere,Nova Vite-Native Test Runner,ACTIVE,@organism/frontend-intelligence/testing,D0_Foundational
F-TST-053,Cypress,Drives end-to-end browser automation through deterministic command queues,verification,RING_1_INNER,golden-cascade,Nova E2E Browser Driver,ACTIVE,@organism/frontend-intelligence/testing,D0_Foundational
F-TST-054,Playwright,Orchestrates cross-browser testing through unified automation protocols,verification,RING_1_INNER,phi-depth-authority,Nova Cross-Browser Orchestrator,ACTIVE,@organism/frontend-intelligence/testing,D0_Foundational
F-TST-055,Testing Library,Queries rendered components through accessibility-role-based selectors,verification,RING_1_INNER,phyllotaxis-layout,Nova Accessible Query Verifier,ACTIVE,@organism/frontend-intelligence/testing,D0_Foundational
F-TST-056,Storybook,Isolates UI components into browsable interactive documentation catalogs,verification,RING_2_MIDDLE,fibonacci-sphere,Nova Component Catalog Isolator,ACTIVE,@organism/frontend-intelligence/testing,D0_Foundational
F-TST-057,Chromatic,Detects visual regressions by diffing component snapshots across builds,verification,RING_2_MIDDLE,fibonacci-hash,Nova Visual Regression Detector,ACTIVE,@organism/frontend-intelligence/testing,D0_Foundational
F-TST-058,Percy,Captures and compares pixel-level screenshots across environment matrices,verification,RING_2_MIDDLE,golden-cascade,Nova Pixel Comparison Capturer,ACTIVE,@organism/frontend-intelligence/testing,D0_Foundational
F-TST-059,ESLint,Analyzes source code patterns against configurable correctness rules,validation,RING_0_CORE,zeckendorf-decomposition,Nova Code Pattern Analyzer,ACTIVE,@organism/frontend-intelligence/testing,D0_Foundational
F-TST-060,Prettier,Formats source code into canonical style through deterministic parsing,transform,RING_1_INNER,golden-cascade,Nova Canonical Code Formatter,ACTIVE,@organism/frontend-intelligence/testing,D0_Foundational
F-GFX-061,Canvas API,Rasterizes 2D graphics through immediate-mode pixel drawing commands,raster,RING_0_CORE,phyllotaxis-layout,Nova 2D Raster Engine,ACTIVE,@organism/frontend-intelligence/graphics,D1_Structural
F-GFX-062,WebGL,Projects 3D geometry through GPU-accelerated shader pipeline execution,projection,RING_0_CORE,fibonacci-sphere,Nova GPU Shader Projector,ACTIVE,@organism/frontend-intelligence/graphics,D1_Structural
F-GFX-063,WebGPU,Dispatches compute and render workloads through next-generation GPU abstraction,projection,RING_0_CORE,fibonacci-sphere,Nova Next-Gen GPU Dispatcher,ACTIVE,@organism/frontend-intelligence/graphics,D1_Structural
F-GFX-064,Three.js,Constructs 3D scene graphs with camera projection and material systems,geometry,RING_1_INNER,fibonacci-sphere,Nova 3D Scene Constructor,ACTIVE,@organism/frontend-intelligence/graphics,D1_Structural
F-GFX-065,D3.js,Binds data arrays to DOM elements through enter-update-exit transitions,projection,RING_1_INNER,phyllotaxis-layout,Nova Data-DOM Binder,ACTIVE,@organism/frontend-intelligence/graphics,D1_Structural
F-GFX-066,Chart.js,Renders statistical data as interactive chart visualizations on canvas,raster,RING_2_MIDDLE,golden-cascade,Nova Statistical Chart Renderer,ACTIVE,@organism/frontend-intelligence/graphics,D1_Structural
F-GFX-067,Pixi.js,Accelerates 2D sprite rendering through WebGL-backed batch pipelines,raster,RING_1_INNER,fibonacci-hash,Nova Sprite Batch Accelerator,ACTIVE,@organism/frontend-intelligence/graphics,D1_Structural
F-GFX-068,Babylon.js,Simulates real-time 3D worlds with physics and material rendering,geometry,RING_1_INNER,fibonacci-sphere,Nova Real-Time World Simulator,ACTIVE,@organism/frontend-intelligence/graphics,D1_Structural
F-GFX-069,p5.js,Sketches creative visual programs through an accessible drawing loop,raster,RING_3_OUTER,phyllotaxis-layout,Nova Creative Sketch Engine,ACTIVE,@organism/frontend-intelligence/graphics,D1_Structural
F-GFX-070,GSAP,Animates DOM properties through high-performance tweening timelines,transform,RING_1_INNER,golden-cascade,Nova Tween Animation Engine,ACTIVE,@organism/frontend-intelligence/graphics,D1_Structural
F-COM-071,Fetch API,Dispatches HTTP requests and streams responses through promise-based pipelines,stream,RING_0_CORE,fibonacci-hash,Nova HTTP Stream Dispatcher,ACTIVE,@organism/frontend-intelligence/communication,D2_Relational
F-COM-072,Axios,Intercepts and transforms HTTP request-response cycles with middleware,proxy,RING_1_INNER,golden-cascade,Nova HTTP Interceptor Proxy,ACTIVE,@organism/frontend-intelligence/communication,D2_Relational
F-COM-073,WebSocket,Maintains persistent bidirectional message channels over TCP,stream,RING_0_CORE,fibonacci-sphere,Nova Bidirectional Channel,ACTIVE,@organism/frontend-intelligence/communication,D2_Relational
F-COM-074,WebRTC,Establishes peer-to-peer media and data channels through ICE negotiation,stream,RING_1_INNER,fibonacci-sphere,Nova Peer Channel Negotiator,ACTIVE,@organism/frontend-intelligence/communication,D2_Relational
F-COM-075,Server-Sent Events,Receives unidirectional event streams from server push endpoints,stream,RING_1_INNER,phi-depth-authority,Nova Server Push Receiver,ACTIVE,@organism/frontend-intelligence/communication,D2_Relational
F-COM-076,GraphQL Client,Queries typed data graphs through declarative selection set resolution,projection,RING_1_INNER,phyllotaxis-layout,Nova Graph Query Resolver,ACTIVE,@organism/frontend-intelligence/communication,D2_Relational
F-COM-077,Apollo Client,Caches normalized entity graphs with optimistic mutation resolution,memory,RING_1_INNER,fibonacci-hash,Nova Entity Cache Normalizer,ACTIVE,@organism/frontend-intelligence/communication,D2_Relational
F-COM-078,React Query,Synchronizes server state with client cache through stale-while-revalidate,memory,RING_1_INNER,phi-depth-authority,Nova Server State Synchronizer,ACTIVE,@organism/frontend-intelligence/communication,D2_Relational
F-COM-079,SWR,Revalidates cached data through stale-while-revalidate fetching strategy,memory,RING_2_MIDDLE,fibonacci-hash,Nova Stale-Revalidate Cache,ACTIVE,@organism/frontend-intelligence/communication,D2_Relational
F-COM-080,tRPC,Bridges type-safe procedure calls between client and server boundaries,proxy,RING_1_INNER,zeckendorf-decomposition,Nova Type-Safe RPC Bridge,ACTIVE,@organism/frontend-intelligence/communication,D2_Relational
F-STO-081,LocalStorage,Persists key-value pairs synchronously in origin-scoped browser storage,persistence,RING_0_CORE,phi-depth-authority,Nova Origin-Scoped Persister,ACTIVE,@organism/frontend-intelligence/storage,D3_Emergent
F-STO-082,SessionStorage,Stores session-scoped key-value data that expires on tab closure,persistence,RING_1_INNER,fibonacci-hash,Nova Session-Scoped Store,ACTIVE,@organism/frontend-intelligence/storage,D3_Emergent
F-STO-083,IndexedDB,Indexes structured objects in transactional client-side databases,persistence,RING_0_CORE,zeckendorf-decomposition,Nova Client Database Indexer,ACTIVE,@organism/frontend-intelligence/storage,D3_Emergent
F-STO-084,Cache API,Stores request-response pairs for offline-first service worker strategies,persistence,RING_1_INNER,golden-cascade,Nova Request-Response Cache,ACTIVE,@organism/frontend-intelligence/storage,D3_Emergent
F-STO-085,Cookies,Transmits small state tokens between client and server on every request,persistence,RING_2_MIDDLE,fibonacci-hash,Nova State Token Transmitter,ACTIVE,@organism/frontend-intelligence/storage,D3_Emergent
F-STO-086,File System API,Reads and writes files through sandboxed file system access handles,persistence,RING_1_INNER,phi-depth-authority,Nova Sandboxed File Accessor,ACTIVE,@organism/frontend-intelligence/storage,D3_Emergent
F-STO-087,OPFS,Provides high-performance private file storage for web worker contexts,persistence,RING_1_INNER,fibonacci-sphere,Nova Private File Storage Engine,ACTIVE,@organism/frontend-intelligence/storage,D3_Emergent
F-STO-088,Web SQL,Executes SQL queries against an embedded client-side relational database,persistence,RING_3_OUTER,zeckendorf-decomposition,Nova Client SQL Executor,ACTIVE,@organism/frontend-intelligence/storage,D3_Emergent
F-STO-089,Blob Storage,Manages binary large objects for media and file download assembly,persistence,RING_2_MIDDLE,fibonacci-hash,Nova Binary Object Manager,ACTIVE,@organism/frontend-intelligence/storage,D3_Emergent
F-STO-090,Broadcast Storage,Synchronizes state changes across same-origin browsing contexts,stream,RING_2_MIDDLE,golden-cascade,Nova Cross-Context Synchronizer,ACTIVE,@organism/frontend-intelligence/storage,D3_Emergent
F-API-091,Service Workers,Intercepts network requests through a programmable proxy layer,proxy,RING_0_CORE,golden-cascade,Nova Network Proxy Interceptor,ACTIVE,@organism/frontend-intelligence/web-api,D4_Transcendent
F-API-092,Web Workers,Executes compute-intensive tasks on parallel background threads,transform,RING_0_CORE,fibonacci-hash,Nova Parallel Compute Executor,ACTIVE,@organism/frontend-intelligence/web-api,D4_Transcendent
F-API-093,Notifications API,Delivers system-level push notifications from web application context,stream,RING_2_MIDDLE,phi-depth-authority,Nova System Notification Deliverer,ACTIVE,@organism/frontend-intelligence/web-api,D4_Transcendent
F-API-094,Geolocation API,Resolves device geographic coordinates through platform location services,geometry,RING_2_MIDDLE,fibonacci-sphere,Nova Geographic Coordinate Resolver,ACTIVE,@organism/frontend-intelligence/web-api,D4_Transcendent
F-API-095,Web Audio API,Synthesizes and processes audio signals through connected node graphs,stream,RING_1_INNER,phyllotaxis-layout,Nova Audio Signal Synthesizer,ACTIVE,@organism/frontend-intelligence/web-api,D4_Transcendent
F-API-096,Web Speech API,Converts between spoken language and text through recognition and synthesis,transform,RING_2_MIDDLE,fibonacci-hash,Nova Speech-Text Converter,ACTIVE,@organism/frontend-intelligence/web-api,D4_Transcendent
F-API-097,Intersection Observer,Monitors element visibility thresholds within scrollable viewport bounds,verification,RING_1_INNER,phi-depth-authority,Nova Viewport Visibility Monitor,ACTIVE,@organism/frontend-intelligence/web-api,D4_Transcendent
F-API-098,Resize Observer,Detects element dimension changes and reports new content box measurements,verification,RING_1_INNER,golden-cascade,Nova Dimension Change Detector,ACTIVE,@organism/frontend-intelligence/web-api,D4_Transcendent
F-API-099,Mutation Observer,Watches DOM subtree mutations and reports structural change records,verification,RING_1_INNER,zeckendorf-decomposition,Nova DOM Mutation Watcher,ACTIVE,@organism/frontend-intelligence/web-api,D4_Transcendent
F-API-100,Performance API,Measures resource timing and navigation performance with high-resolution marks,verification,RING_0_CORE,fibonacci-hash,Nova Performance Measurement Engine,ACTIVE,@organism/frontend-intelligence/web-api,D4_Transcendent
